text,Pattern Category,label
Romper Swimwear,Not Dark Pattern,0
cookie host,Not Dark Pattern,0
2 people have looked at this in the last couple of hrs.,Social Proof,2
 United States ,Not Dark Pattern,0
Corporate Responsibility Report,Not Dark Pattern,0
 shop all ,Not Dark Pattern,0
 Netherlands Antilles USD,Not Dark Pattern,0
 Optimized Patch System ,Not Dark Pattern,0
Only 3 Left!,Scarcity,1
Every Purchase Helps Your NRA:,Not Dark Pattern,0
QUANTITY: *ONLY 1 LEFT,Scarcity,1
No thanks. I prefer paying full price.,Misdirection,4
00DAYS00HOURS14MINUTES21SECONDS,Urgency,3
 newsletter signup (privacy policy) ,Not Dark Pattern,0
Kicks Remotes,Not Dark Pattern,0
Medium GreyLogan T-Shirt Jersey Comforter and Sham Set,Not Dark Pattern,0
Pillowcases & Shams,Not Dark Pattern,0
0 Days 2 Hours 57 Minutes 53 Seconds,Urgency,3
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",Not Dark Pattern,0
Used Leica Cameras,Not Dark Pattern,0
Scarves & Snoods,Not Dark Pattern,0
IN 43 PEOPLE'S SHOPPING BAG,Social Proof,2
Livefood Subscription,Not Dark Pattern,0
Long Sleeves Nightwear,Not Dark Pattern,0
Use the left and right arrow keys to navigate the Menu. Use the enter key to activate the submenu on a navigation item. Use escape key to close the submenu. ,Not Dark Pattern,0
1626 people seeing this product right now,Social Proof,2
Plus Size Ripped Jeans,Not Dark Pattern,0
"William in Pago Pago, United States purchased a",Social Proof,2
"Our items sell fast, don't miss out!",Scarcity,1
BSA FAC Air Rifles,Not Dark Pattern,0
Stay on Next.co.uk,Not Dark Pattern,0
Custom Board Quote,Not Dark Pattern,0
52 people have added this product to bag in the last 72 hours,Social Proof,2
Vintage Fancy Red Bracelet Watch Women's,Not Dark Pattern,0
Earn FanCash on all purchases!,Not Dark Pattern,0
How about one of these hot sellers?,Misdirection,4
"NO THANKS, I'D RATHER PAY FULL PRICE",Misdirection,4
A very fun outfit for a less formal event like a sangeet! Husband said the bell bottom type pants were fun to dance in :),Not Dark Pattern,0
"Easy, awesome! ready to go. Held a charge first night",Not Dark Pattern,0
Set SALE Into Summer ,Not Dark Pattern,0
 Bar Stools,Not Dark Pattern,0
Cleaning Brushes & Tools,Not Dark Pattern,0
Pay Securely with Trespass,Not Dark Pattern,0
 Every bicycle tells a story ,Not Dark Pattern,0
Sorry! This product is no longer available,Not Dark Pattern,0
Value of Product,Not Dark Pattern,0
